institution_name,country
"1State University of Maringá (UEM), Biology Department (DBI), Research Nucleus in Limnology, Ichthyology and",
"1StateKeyLaboratoryofMaricultureBiobreedingandSustainableGoods,YellowSeaFisheriesResearchInstitute,ChineseAcademyofFisherySciences,",
"1StazioneZoologicaAntonDohrn,DepartmentofIntegrativeMarineEcology,SicilyMarineCenter,LungomareCristoforoColombo(complessoRoosevelt),",
"1StazioneZoologicaAntonDohrn,Naples,Italy,2OKEANOSCenter,DepartmentofOceanographyandFisheries,University",Italy
"1StressandTechnologyAppliedResearchLaboratory,DepartmentofPsychology,CaliforniaState",
"1SwedishUniversityofAgriculturalSciences,DepartmentofAquaticResources,InstituteofMarineResearch,Turistgatan",
"1Sydney Institute of Marine Science, Mosman, NSW 2088, Australia",Australia
"1Tasmanian Aquaculture and Fisheries Institute, Marine Research Laboratories, University of Tasmania, Private Bag 49,",
"1TechnicalUniversityofDenmark,NationalInstituteofAquaticResources,Kgs.Lyngby,Denmark;2Fundacion",Denmark
"1Tethys Research Institute, Viale G.B. Gadio 2, 20121 Milan, Italy. 2National Research Center, Gaza City, Palestine.",Italy
"1TethysResearchInstitute,Milan,Italy",Italy
"1The Environment Institute and School of Earth and Environmental Sciences, The University of Adelaide,",
"1The Safina Center, Honolulu, USA. 2The Lyell Centre, Heriot-Watt University, Edinburgh, UK. 3Ecological",USA
"1The University of the South Pacific, Molecular Analytics Laboratory (MOANA LAB), School of Marine Sciences,",
"1The WorldFishCenter-Philippine Office, Los Ban˜os, Philippines;2Leibniz-Institut fu¨r Meereswissenschaften (IFM-GEOMAR),",Philippines
"1TheCenter forMarine Biotechnology andBiomedicine, Marine Biology Research Division,Scripps Institution",
"1TheCollegeofWilliamandMary,SchoolofMarineScience, Thispaperpresentsdataonstomachtemperaturesfromthreefree-",
"1TheCousteauSociety/EquipeCousteau,92AvenueKle´ber,75016Paris,France,2GreatLakesInstituteforEnvironmentalScience,",France
1TheEnvironmentInstituteandSchoolof ABSTRACT,
"1TheGuyHarveyResearchInstitute,NovaSoutheasternUniversityOceanographicCentre,8000NorthOceanDrive,DaniaBeach,FL33004,USA",USA
1TheInterdisciplinaryCentreforConservation,
"1TheUWAOceansInstitute(M470)andSchoolofPlantBiology,FacultyofNaturalandAgriculturalSciences,TheUniversityof",
"1TheUWAOceansInstitute,TheUniversityof ABSTRACT",
"1TheoreticalandAppliedIchthyologyLab(LICTA),FederalUniversityoftheStateofRiode",
"1ThirdInstituteofOceanography,MinistryofNaturalResources,Xiamen,China,2KeyLaboratoryofMarineEcologicalConservation",China
"1Thünen Institute of Sea Fisheries, 27572 Bremerhaven, Germany. 2Alfred Wegener Institute for Polar and",Germany
"1Tuna Research and Conservation Center, Monterey Bay Aquarium, 886 Cannery Row, Monterey, CA, 93940,",
"1UCLInstituteofOphthalmology,LondonEC1V9EL,UnitedKingdom;2InstituteofMolecularandCellBiology,AgencyforScience,",
"1UMR ENTROPIE-IRD-UR-UNC-CNRS-IFREMER, University of New Caledonia, Noumea BP R4, 98851, New Caledonia",
"1UniversidadSanFranciscodeQuito,GalapagosScienceCenter,IslaSanCristo´bal,Ecuador,",Ecuador
"1Universidade de Vigo, Department of Ecology and Animal Biology, CIM-ECIMAT, 32310 Vigo, Pontevedra, Spain",Spain
"1University of California, Santa Cruz, Department of Ecology & Evolutionary Biology, Long Marine Laboratory, Santa Cruz, CA, USA. 2Migratory Bird",USA
"1University of Florida, Program of Fisheries and Aquatic Sciences, School of Forest Resources and Conservation,",
"1University of Guam Marine Laboratory, Mangilao, Guam96923, Guam",
"1University of Hamburg, Biocenter Grindel and Zoological Museum, Martin-Luther-King-Platz 3, 20146 Hamburg, Germany",Germany
"1University of Hawaii at Ma – noa, Department of Zoology, 2538 The Mall, Edmondson152, Honolulu, Hawaii 96822, USA",USA
"1University of North Florida, 1 UNF Dr, Jacksonville, FL 32224, USA",USA
"1University of South Florida, St. Petersburg Campus, St. Petersburg, FL 33701, USA. 2University of Miami, Miami,",USA
"1University of Vienna, Department of Palaeontology, Althanstrasse 14, 1090 Vienna, Austria.",Austria
"1University of Vienna, Department of Palaeontology, Vienna, 1090, Austria. 2Università degli Studi di Torino,",Austria
"1University of West Florida Department of Biology, 11000 University Parkway, Pensacola Florida 32514.",
"1University ofGuam Marine Laboratory, Mangilao, 96923, highly variable both in time and space. There was",
"1UniversityofHawai‘i,Hawai‘iInstituteofMarineBiology,Kãne‘ohe,Hawai‘i,USA",USA
"1UniversityofLinköping,DepartmentofBiology,SE-58183Linköping,Sweden",Sweden
"1UniversityofRhodeIsland,DepartmentofBiologicalSciences,120FlaggRoad,Kingston,RI02881,USA,2SanDiegoStateUniversity,",USA
"1UniversityofRoehampton,London,UK",UK
"1UniversityofVienna,FacultyofEarthSciences,GeographyandAstronomy,DepartmentofPalaeontology,EvolutionaryMorphologyResearchGroup,Josef-",
"1Veterinary Clinical Centre, The University of Melbourne, Werribee, Victoria, 3030, Australia",Australia
"1VirginiaInstituteofMarineScience,College",
"1VisakhapatnamRegionalCentreofICAR-CentralMarineFisheriesResearchInstitute,Visakhapatnam,Andhra",
"1W. Stefaæski Institute of Parasitology, Polish Academy of Sciences, 51/55 Twarda Street, 00-818 Warsaw, 2Department of General",
"1W. Stefaæski Institute of Parasitology, Polish Academy of Sciences, 51/55 Twarda Street, 00-818 Warsaw, Poland;",Poland
"1W. Stefaæski Institute of Parasitology, Polish Academy of Sciences, Warsaw, Poland; 2Department of General Biology and Parasitology,",Poland
"1W. Stefański Institute of Parasitology, Polish Academy of Sciences, 51/55 Twarda Street, 00-818 Warsaw, Poland;",Poland
"1Warnell School of Forest Resources, University of Georgia, Athens, Georgia 30606, USA",USA
"1Wildlife,FishandConservationBiology,UniversityofCaliforniaDavis,",
"1WildlifeConservationSociety,GulfandCaribbeanSharksandRaysProgram,PuntaGorda,Belize,2CentreforEcologyandConservation,UniversityofExeter,Tremough",Belize
"1Yale-NUSCollege,NationalUniversityofSingapore,Singapore",Singapore
"1Yale-NUSCollege,NationalUniversityofSingapore,Singapore,Singapore,2DepartmentofBiologicalSciences,National",Singapore
"1italian national Research council (cnR), institute of Marine Biological Resources and Biotechnologies (iRBiM),",
"2 AIMS@JCU,AustralianInstituteofMarineScience,College",Australia
"2 Address: Department of Pathobiology, Johns Hopkins University School of",
"2 AowThaiMarineEcologyCenter,KohMunNai,Kram,Klaeng groups(Compagno1988).Inareviewofthesharksoftheeast",
"2 Applied Molecular Biosciences Unit, Department C O 2 levels are necessary as a more adequate proxy of the",
"2 Aquaculture Research Center - South of Iran, Iranian Fisheries Science Research Institute (IFSRI), Agricultural Research",
"2 Atlantic Cancer Research Institute, Moncton, NB, Canada",Canada
"2 Australian Institute of Marine Science, PMB 3, Townsville, Queensland 4810, Australia",Australia
"2 Australian Institute of Marine Science, PMB No. 3, Townsville MC, Townsville, Queensland 4810,",Australia
"2 Australian National University, Archaeology and Natural History, College of Asia and the",Australia
"2 Biological Sciences, Great Lakes Research Center, Michigan",
"2 Biological Sciences, Macquarie University, Sydney, NSW 2109, Australia",Australia
"2 Biology Department, University of Massachusetts Bradenton, FL 34207, USA",USA
"2 BiologyDepartment,UniversitätKonstanz,78467Konstanz,Germany",Germany
"2 BiomedicalResearchInstitute,PusanNationalUniversityHospital,Busan602-739,Korea",USA
"2 CEFE, Univ Montpellier, CNRS, EPHE-PSL University,",
"2 CIIMAR,InterdisciplinaryCenterofMarineandEnvironmentalResearch,TerminaldeCruzeirosdoPortode",
"2 Center for Bioinformatics and Computational Biology, Okinawa (Amaoka et al. 1989; Randall et al. 1997; Shino-",
"2 CenterforSustainableDevelopmentGoalsStudies,UNPADSDGsCenter,GedungCISRALUNPAD,",
"2 CenterofNaturalHistory,UniversityofHamburg,",
"2 CenterofNaturalHistory,UniversityofHamburg, Schroeder, 1948, synonymized with Bathyraja Ishiyama,",
2 Centre d’Océanologie de Marseille,
2 Centre for Environment Fisheries and Aquaculture Science increases physiological stress levels which may result in,
"2 Centre for Sustainable Tropical Fisheries and Aquaculture coastal species is widely known, our understanding of niche",
"2 CentreforEnvironment,FisheriesandAquacultureScience,PakefieldRoad,",
"2 CoastalBiodiversityLaboratory,InterdisciplinaryCentreofMarineandEnvironmentalResearch(CIIMAR),",
"2 CoastalandOffshoreResourcesResearchCenter,FisheriesResearchInstitute,CouncilofAgriculture,",
"2 College of Marine and Environmental Sciences, James Cook 6 Marine Biological Section, Department of Biology,",
"2 College of Science, Health, Engineering and Education, 700 University Ave, Toronto, ON M5G, Canada",Canada
"2 CollegeofFisheriesandOceanSciences,UniversityofAlaskaFairbanks,Fairbanks,AK99775,USA",USA
"2 CollegeofMarineSciences,ShanghaiOceanUniversity,Shanghai201306,China",China
"2 CollegeofMarineSciences,SouthChinaAgriculturalUniversity,Guangzhou510642,China;",China
"2 CollegeofMarineandEnvironmentalSciences,JamesCook duetothecomplexityoffoodwebs(e.g., Bascompteet al.",
"2 CollegeofScienceandEngineering,FlindersUniversity,Adelaide,SA5042,Australia;",Australia
"2 CollegeofScienceandEngineering,FlindersUniversity,BedfordPark,SA3929,Australia",Australia
"2 Comparative Genomics Centre, College of Science",
"2 Contribution:adviser,collectedthesample,revising. requiredforthechemiluminescentreactionwassuggestedinnumerous",
"2 Cooperative Institute for Marine and Atmospheric Studies, Rosenstiel [17], and evaluating their movement and residency",
"2 CurrentAddress:DepartmentofGeography,BirkbeckUniversityofLondon,London,UnitedKingdom.",
"2 Currentaddress:MarineScienceCenter,100LighthouseDrive,PonceInlet,FL tion to planktonic crustaceans, Rhincodon had been conclusively",
"2 Currentaddress:UniversityofFlorida,Gainesville,FL32612,USA.",USA
"2 DentalMaterialsScience,UniversityofBirmingham,BirminghamB57EG,UK;b.w.darvell@bham.ac.uk",UK
"2 DepartamentodoMareRecursosMarinhos,IPMA,Instituto InstitutionofOceanography0202,UniversityofCalifornia,",
"2 DepartamentofChemicalEngineeringandFoodTechnology,FacultyofSciences,UniversidaddeCádiz,",
"2 Department of Animal Science, Agriculture Faculty, Varamin Branch, Islamic Azad University, Varamin, Iran.",
2 Department of Biological Sciences,
"2 Department of Biological Sciences, Clemson University, the genus Carcharhinus in the family Carcharhinidae [1]. In",
"2 Department of Biological Sciences, College of Science, Clemson University, Clemson, SC 29634",
"2 Department of Biological Sciences, Life Sciences Centre, 1355 Oxford Street, Dalhousie University,",
"2 Department of Biological Sciences, Macquarie University, Sydney, NSW 2109,",
"2 Department of Biological Sciences, University of Alberta, ity (Yancey et al. 1982; Yancey 2015). In fact, where other",
"2 Department of Biology, Southeastern Massachusetts University, North Dartmouth, MA 02747, USA",USA
"2 Department of Biology, Texas A & M University, College Station, Texas 77843, USA",USA
"2 Department of Biology, University of Alberta, Edmonton, (Randall et al. 1972; Gonzalez and McDonald 1992). This",
"2 Department of Biology, University of New Mexico, 2021). Foraging at the individual-level can dictate these pro-",Mexico
"2 Department of Biology, University of New Mexico, address, with predictive models providing insight into the",Mexico
"2 Department of Bioscience, Aarhus University, Ole Worms been established as a timestamp incorporated no later than",
"2 Department of Botany and Zoology, Stellenbosch University,",
"2 Department of Chemistry, University of Bergen, All6gt. 41, N-5007 Bergen, Norway",Norway
"2 Department of Ecology & Evolutionary Biology and the Biodiversity Institute, University of Kansas, Lawrence, Kansas, USA",USA
"2 Department of Entomology and Plant Pathology, University of Tennessee, Jackson, Tennessee, USA",USA
"2 Department of Environmental Biology and Fisheries Science, National Taiwan Ocean University, Keelung, Taiwan",Taiwan
"2 Department of Fisheries, Animal and Veterinary Science, University of Rhode Island, Kingston, RI, USA",USA
"2 Department of Forestry and Environmental Management, researchers must take care when attaching electronic tag",
"2 Department of Ichthyology and Fisheries Science, Rhodes In this sense, the formation of aggregations may also be",
"2 Department of Land and Natural Resources, Division",
"2 Department of Life Sciences, Toyo University, Itakura, acclimated teleosts vary according to species (Hwang and",
"2 Department of Life and Environmental Sciences, University useful technique to resolve these confounding factors, because",
"2 Department of Marine Science, Coastal Carolina University, eost species (Blaxter et al. 1971; Walker et al. 1985; Priede",
"2 Department of Marine Science, Coastal Carolina University, trophic partitioning are unlikely (Loreau 2004), exploring the",
"2 Department of Microbiology and Immunology, University lymphoid tissues. However, the V, D, and J gene segments",
"2 Department of Natural History, University Museum of Bergen, Postboks 7800, 5020 Bergen, Norway",Norway
"2 Department of Oceanography and Fisheries, Centre of IMAR",
"2 Department of Palaeontology and Geology, Hungarian Natural History Museum, Ludovika tér 2., Budapest 1083, Hungary",Hungary
"2 Department of Palaeontology, Faculty of Earth Sciences, Prior to the Middle Triassic, the fossil record of neose-",
"2 Department of Parasitology, The University of Queensland, Brisbane, Queensland 4072, Australia",Australia
"2 Department of Polar Science, The Graduate University (e.g., seals) (Watanabe et al. 2019). This general phenomenon",
"2 Department of Statistical Sciences, School et al. 2010; Pinti and Visser 2019; Ito et al. 2022). Many",
"2 Department of Veterinary Medicine, University of Alaska 15N/14N (δ15N) is on average 3–5‰ higher in a predator",
"2 Department of Zoology, Nelson Mandela Metropolitan University, PO Box 77000, Port Elizabeth 6031, South Africa",South Africa
"2 Department of Zoology, the University of British Columbia, 6270 University Blvd., Vancouver, British",
"2 Department of Zoology. University of Auckland. Auckland, New Zealand",New Zealand
"2 Department ofBiology, Universityof Hartford,West Hartford, CT,USA",USA
"2 Department ofEcology andEvolutionary Biology,University ofConnecticut, Storrs,CT, USA",USA
"2 Department ofPathobiology andVeterinary Science,University ofConnecticut, Storrs, CT,USA",USA
"2 Department ofZoology, University ofJohannesburg, AucklandPark, SouthAfrica",
"2 Departmentof LifeSciences, Natural HistoryMuseum, Cromwell Road,LondonSW75BD, UnitedKingdom",
"2 DepartmentofAgricultura,Ramaderia,Pesca,CaçaiCooperacióMunicipal,ConsellInsulard’Eivissa,",
"2 DepartmentofAgricultureandFisheries,QueenslandGovernment,DuttonPark,QLD4102,Australia",Australia
"2 DepartmentofAnimalProduction,Fisheries&Aquaculture,UniversityofPatras,30200Mesolongi,Greece",Greece
"2 DepartmentofAquaculture,NationalTaiwanOceanUniversity,Keelung20224,Taiwan",Taiwan
"2 DepartmentofArcticandMarineBiology,FacultyofBiosciences,",
"2 DepartmentofArcticandMarineBiology,FacultyofBiosciences, 1965; Halton and Stranock 1976; Kearn 2004). Whereas",
"2 DepartmentofBioEcologicalSciences,UniversityofTuscia,Largodell’Universitàsnc,01100Viterbo,Italy",Italy
"2 DepartmentofBiological,GeologicalandEnvironmentalSciences,UniversityofBologna,",
"2 DepartmentofBiologicalSciences,MacquarieUniversity,NorthRyde,Sydney,NSW2113,Australia;",Australia
"2 DepartmentofBiologicalSciences,OaklandUniversity,Rochester,MI48309,USA;emeri55555@gmail.com",USA
"2 DepartmentofBiologicalSciences,SanDiegoStateUniversity,5500CampanileDr,SanDiego,CA92182,USA",USA
"2 DepartmentofBiologicalSciences,UniversityofCapeTown, the polyopisthocotyleans (Poddubnaya et al. 2015), the",
"2 DepartmentofBiology,BostonUniversity,Boston,MA02215,USA",USA
"2 DepartmentofBiology,EcologyandEarthSciences,UniversityofCalabria,87036Rende,Italy",Italy
"2 DepartmentofBiology,EcologyandEarthSciences,UniversityofCalabria,87036Rende,Italy;",Italy
"2 DepartmentofBiology,FacultyofSciences,UniversityofPorto,RuadoCampoAlegre,s/n,",
"2 DepartmentofBiology,GeorgiaSouthernUniversity,Statesboro,GA30460,USA",USA
"2 DepartmentofBiology,UniversityofCrete, microcephalus, could reach a life-span of 392 years",
"2 DepartmentofBiology,UniversityofPisa,viaDerna1,56126Pisa,Italy;jlangeneck@biologia.unipi.it",Italy
"2 DepartmentofBiomaterialsEngineering,FacultyofHealthSciences,UCAM-UniversidadCatólicaSan",
"2 DepartmentofBioresources,FraunhoferInstituteforMolecularBiologyandAppliedEcology,",
"2 DepartmentofChemical,Biological,PharmaceuticalandEnvironmentalSciences,UniversityofMessina,",
"2 DepartmentofComputerScience,UniversityofBristol, turelessobjectsasbiometricentitiesinstead.Inspecific,we",
"2 DepartmentofDermatology,TaichungVeteransGeneralHospital,Taichung40705,Taiwan",Taiwan
"2 DepartmentofEcologyandEvolutionaryBiologyandBiodiversityInstitute,UniversityofKansas,Lawrence,KS,USA",USA
"2 DepartmentofEconomicSciencesandMathematicalMethods,UniversityofBariAldoMoro,Bari,Italy",Italy
"2 DepartmentofFisheriesGeneticsandBreeding,HabiganjAgriculturalUniversity,Habiganj3300,Bangladesh;",Bangladesh
"2 DepartmentofFisheriesProductionandManagement,NationalKaohsiungUniversityofScienceand",
"2 DepartmentofFisheriesandOceansCanada,NorthwestAtlanticFisheriesCentre,P.O.Box5667,",Canada
"2 DepartmentofIchthyology,CaliforniaAcademyofSciences,55 known worldwide, five are reported to occur in the",
"2 DepartmentofLifeandEnvironmentalSciences,UniversityofCagliari,09126Cagliari,Italy;",Italy
"2 DepartmentofLifeandEnvironmentalSciences,UniversityofCagliari,09126Cagliari,Italy;rcannas@unica.it",Italy
"2 DepartmentofMarineBiology,Microbiologyand",
"2 DepartmentofMarineBiology,TexasA&MUniversityatGalveston,Galveston,TX77553,USA;",USA
"2 DepartmentofMarineEco-Biology(DEBM),UniversityofTuscia,01100Viterbo,Italy;",Italy
"2 DepartmentofMedicalPsychology,FacultyofMedicine,“CarolDavila”UniversityofMedicine",
"2 DepartmentofOrganismicandEvolutionaryBiology,HarvardUniversity,Cambridge,MA02138,USA;",USA
"2 DepartmentofPhysicalSciences,EarthandEnvironment,UniversityofSiena,ViaP.A.Mattioli4,",
"2 DepartmentofPhysicalSciences,EarthandEnvironmentDSFTA,UniversityofSiena,53100Siena,Italy",Italy
"2 DepartmentofPhysiology,FacultyofBiologicalSciences,UniversityComplutense,28040Madrid,Spain",Spain
"2 DepartmentofPhysiology,FacultyofBiologicalSciences,UniversityComplutenseMadrid,",
"2 DepartmentofPoliticalScienceandCEFOP-LUISS,LUISSGuidoCarliUniversity,00197Rome,Italy",Italy
"2 DepartmentofStatistics,TheUniversityofAuckland,Auckland1010,NewZealand;",
"2 DepartmentofZoology,UniversityofCalcutta,Kolkata, washed thoroughly with distilled water, stained with",
"2 Directorate of Fisheries Research, Fisheries Laboratory, MAFF, Lowestoft, Suffolk, NR33 OHT,",
"2 DokdoFisheriesResearchCenter,EastSeaFisheriesResearchInstitute,NationalInstituteofFisheriesScience,",
"2 DurrellInstituteofConservationandEcology,UniversityofKent,CanterburyCT17NZ,UK",UK
"2 EC Joint Research Centre (JRC), Institute for Protection and Security of the Citizen (IPSC), Maritime Affairs Unit G.04,",
"2 EPHE,PSLResearchUniversity,Paris,France",France
"2 Elasmo-Lab,ElasmobranchResearchLaboratory,Georg-Bonne-Str.",
"2 Elasmo-Lab,ElasmobranchResearchLaboratory,Sophie-Rahel-Jansen-Str.83,22609Hamburg,Germany;",Germany
"2 Environment and Sustainability Institute, University 7 Scottish Natural Heritage, Great Glen House,",
"2 Faculty of Science and Engineering, Groningen Institute possible consequences, eliminating larger predators carries",
"2 FacultyofAgriculturalTechnology,RambhaiBarniRajabhatUniversity,Chanthaburi22000,Thailand",Thailand
"2 FacultyofBiosciences,DepartmentofArcticandMarineBiology,",
"2 FacultyofVeterinarySciences,UdayanaUniversity,BukitJimbaran, Bonaparte have been reported as common final hosts of the",UK
"2 First Zoological Department, Natural History Museum ric changes sensu Gould 1966). Most obvious is a negative",
"2 Fish and Wildlife Research Institute, Florida Fish and Wildlife Conservation Commission, St. Petersburg, FL, USA;",USA
"2 FishEcologyandConservationPhysiologyLaboratory,",
"2 Fisheries Research, Department of Primary Industries lewini (Griffith et Smith) and the great hammerhead Sphyrna",
"2 Fisheries Science Center, Hokkaido University Museum, 3-1-1 Minato-cho, Hakodate, Hokkaido 041-8611, Japan",Japan
"2 FisheriesDepartment,FacultyofMarineSciencesandTechnology,",
"2 FisheriesResearch,DepartmentofPrimaryIndustriesandResources,",
"2 FloridaProgramforSharkResearch,FloridaMuseumofNaturalHistory,UniversityofFlorida,280DickinsonHall,Gainesville,FL32611,",
"2 FoodandCosmeticHealthResearchCenter,HormozganUniversity",
"2 G eorge Perkins Marsh Institute , Clark University , 950 Main Street , Worcester , Massachusetts 01610 USA",USA
"2 George Chen Shark Research Center, National Taiwan Ocean University, Keelung, Taiwan, R.O.C.",Taiwan
"2 GeorgeChenSharkResearchCenter,NationalTaiwanOceanUniversity,2Pei-NingRoad,",Taiwan
"2 GeorgeChenSharkResearchCenter,NationalTaiwanOceanUniversity,Keelung20224,Taiwan",Taiwan
"2 GeorgeChenSharkResearchCenter,NationalTaiwanOceanUniversity,Keelung20224,Taiwan;",Taiwan
"2 GeorgeChenSharkResearchCenter,NationalTaiwanOceanUniversity,Keelung202301,Taiwan",Taiwan
"2 GeorgeWashington University Medical Center,Department ofPathology,Washington, DC,USA",USA
"2 GraduateSchoolofFisheriesScienceandEnvironmentalStudies,NagasakiUniversity,",
"2 GraduateSchoolofNaturalandAppliedSciences,FiratUniversity,Elazig23119,Turkey",Turkey
"2 GuangdongProvincialKeyLaboratoryofFisheryEcologyEnvironment,Guangzhou510300,China",China
"2 Hamra Avenue, Adelaide, South Australia 5165, Australia, †School of Biological Sciences,",Australia
"2 HawaiiInstituteofMarineBiology,UniversityofHawaiiatManoa,POBox1346,CoconutIsland,Kaneohe,HI96744,USA",USA
"2 Hellenic Centre for Marine Research, Box 2214, 5.33 million years ago (Garcia-Castellanos et al. 2009). A",
"2 Hollings Marine Lab, Medical University of South Carolina, central coast of Alaska in the eastern North Pacific Ocean.",
"2 Hollings Marine Lab, Medical University of South Carolina, family Chimaeridae (the shortnose chimaeras). The valid-",
"2 Hypoxia and Ischemia Research Unit, School of Allied Sciences, Griffith University, Gold",
"2 IBM Centre, 348 Edward Street, Brisbane, Queensland 4000, Australia",Australia
"2 ICAR-CentralMarineFisheriesResearchInstitute,Mumbai",
"2 IPMA-PortugueseInstituteforSeaandAtmosphere,Av.Brasília,",
"2 Ichtyo-Consult, 6 bis rue de Centre, 91430 Igny, France",France
"2 Institute for Biodiversity Science and Sustainability,",
"2 Institute for Marine and Antarctic Studies, University of rates (Meekan et al. 2020) and K-selected life history traits",
"2 Institute of Environment, Department of Biological Sciences,",
"2 Institute of Environment, Department of Biology, Florida Petean and de Carvalho 2018). Cookiecutter sharks have",
"2 Institute of Estuarine and Coastal Studies, University of Hull, Aquarium, Central Wharf, Boston, MA 02110, USA",USA
"2 Institute of Marine Research (IMAR), University",
"2 Institute of Parasitology, Biology Centre of the Czech Academy of Sciences, České Budějovice, Czech Republic;",Czech Republic
"2 Institute of Zoology, University of Bonn, Meckenheimer of the smaller ray species (see review Guttridge et al. 2018).",
"2 InstituteforEnvironmentalProtectionandResearch(ISPRA),Loc.Brondolo,30015Venice,Italy;",Italy
"2 InstituteforMarineBiologicalResourcesandBiotechnology(IRBIM),NationalResearchCouncil,",
"2 InstituteofAdvancedStudies,UniversitiMalaya,KualaLumpur50603,Malaysia",Malaysia
"2 InstituteofBiologicalSciences,FacultyofScience,UniversitiMalaya,KualaLumpur50603,Malaysia",Malaysia
"2 InstituteofGraduateStudiesinSciences,IstanbulUniversity,34116I˙stanbul,Türkiye",
"2 InstituteofMarineAffairsandResourceManagement,NationalTaiwanOceanUniversity,",Taiwan
"2 InstituteofMarineBiology,BiotechnologyandAquaculture,HellenicCentreforMarineResearch,",
"2 InstituteofParasitology,BiologyCentre oftheCzech Academyof Sciences, Branišovská31, 37005Cˇeské Budeˇjovice,",
"2 Instituto Español de Oceanografía, Centre Oceanogràfic de",
"2 Interdisciplinary Centre of Marine and Environmental commonly freshwater and marine fishes, and exceptionally",
"2 International Master in MarineBiology (IMBRSea), GhentUniversity,Gent, Belgium",Belgium
"2 KeralaUniversityofFisheriesandOceanStudies,Cochin,India edtofoundupto320m(Abramov1992),andthemaximum",India
"2 KeyLaboratoryofMarineGeneticResources,StateKeyLaboratoryBreedingBaseofMarineGenetic",
"2 King Abdullah University of Science and Technology,",
"2 Kocaeli University, Faculty of Agricultural and Natural Sciences, 41285 Kocaeli, Turkey",Turkey
"2 Laboratory for Ecophysiology and Molecular Evolution that temperature has on metabolic processes, oxygen sup-",
"2 Laboratory of Animal Pathology, Department of Biology,",
"2 LaboratoryofBehaviorofLowerVertebrates,A.N.SevertsovInstituteofEcologyandEvolution,",
"2 LaboratoryofIchthyology,SchoolofBiology,AristotleUniversityof length(DML)forcephalopodsweremeasuredtothenearest",
"2 LeibnizInstitutefortheAnalysisofBiodiversityChange(LIB),CentreforTaxonomyandMorphology,",
"2 LeonardandJayneAbessCenterforEcosystemScienceandPolicy,UniversityofMiami,CoralGables,",
"2 Manta Ray and Whale Shark Research Centre, Marine Megafauna Foundation, Praia do Tofo,",
"2 Marine Biological Section, University of Copenhagen,",
2 Marine Genomics Laboratory,
"2 Marine Science and Technology Faculty, Department biomass from the length frequency distribution. LWR can",
"2 MarineBiologyandFisheriesLaboratoryofFano,DepartmentofBiological,GeologicalandEnvironmental",
"2 MarineEcologyGroup,SchoolofNaturalSciences,MacquarieUniversity,NorthRyde,NSW2109,Australia",Australia
"2 MarineEcosystemsTeam,WellingtonUniversity,Wellington6012,NewZealand;monique.ladds@gmail.com",
"2 MarineInstitute,Oranmore,Co.Galway,Ireland;maurice.clarke@marine.ie(M.C.);",Ireland
"2 Molecular Breeding and Biodiversity Group, Department or parturition despite their regular long migrations (Bonfil",
"2 Molecular Fisheries Laboratory, School of Biomedical population structure of widely distributed marine species",
"2 Molecular Fisheries Laboratory, School of Biomedical population to the point of extinction (Frankham et al. 2010).",
"2 MorphophysiologyLaboratory,FederalInstituteofEducation,ScienceandTechnologyofAmazonas–IFAM,",
"2 MoteMarineLaboratory,1600KenThompsonPkwy,Sarasota,FL34236,USA;kbhull@mote.org",USA
"2 NBFC,NationalBiodiversityFutureCenter,PiazzaMarina61,90133Palermo,Italy",Italy
"2 NSW Department of Primary Industries, National Marine 6 College of Science and Engineering, James Cook University,",
"2 NSWDepartmentofPrimaryIndustries,NationalMarineScienceCentre,CoffsHarbour,NSW2450,Australia",Australia
"2 National Marine Science Centre, Southern Cross University, annual global harvest is 1,440,000 tonnes or between ~63",
"2 NationalEngineeringResearchCenterforOceanicFisheries,ShanghaiOceanUniversity,",
"2 NationalEngineeringResearchCenterforOceanicFisheries,ShanghaiOceanUniversity,Shanghai201306,China",China
"2 NationalInstituteofAquaticResources,TechnicalUniversity",
"2 NationalInstituteofFisheriesScience,Busan46083,RepublicofKorea;seokjin.yoon@gmail.com",USA
"2 NationalMarineScienceCentre,SouthernCrossUniversity,CoffsHarbour,NSW2450,Australia",Australia
"2 New South Wales Department of Primary Industries, Port and other macrophytes, extending over 8000 km of coastal",
"2 NewMaterialsGroup,DepartmentofAppliedPhysics,CampusLagoas-Marcosende,UniversityofVigo,",
"2 NewSouthWalesDepartmentofPrimaryIndustries,P.O.Box4321,CoffsHarbour,NSW2450,Australia;",Australia
"2 OceanographicCentreofBaleares(CentroOceanográficodeBaleares),InstitutoEspañolde",
"2 Oceans Institute, Indian Ocean Marine Research Centre WA 6009, Australia",Australia
"2 OceansResearchInstitute,P.O.Box1767,MosselBay6500,SouthAfrica;e.gennari@oceans-research.com",
"2 OkeanosR&DCentre,UniversityoftheAzores,9901-862Horta,Portugal;ana.mn.pabon@uac.pt(A.N.-P.);",Portugal
"2 PSLResearchUniversity,EPHE-UPVD-CNRS,USR3278 An animal’s home range represents the area it uses for",
"2 PacificSharkResearchCenter,MossLandingMarineLaboratories,MossLanding,CA95039,USA;",USA
"2 ParasitilogyResearchUnit,DepartmentofZoology, genus Wenyonia was recovered from a marine fish host,",
"2 Pathology Division, Nansei Field Station, Fisheries Technology Institute, Japan Fisheries Research and Education Agency, Mie, Japan;",Japan
"2 Peninsular and Marine Fish Genetic Resources Centre, major proteoglycans (PGs) including aggrecan and type II",
