"our_journal_name","scimago_title","sjr_score","quartile","h_index","subject_areas","open_access","match_type","match_score","paper_count"
"Food Science & Nutrition","Food Science and Nutrition","0.849","Q1","74","Agricultural and Biological Sciences","Yes","exact","1.0","2"
"Infection Genetics and Evolution","Infection, Genetics and Evolution","0.74","Q1","118","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine","Yes","exact","1.0","2"
"Anthrozoös","Anthrozoos","0.504","Q1","73","Agricultural and Biological Sciences; Social Sciences; Veterinary","No","exact","1.0","2"
"Cornea","Cornea","0.955","Q1","141","Medicine","No","exact","1.0","2"
"Journal of Comparative Physiology B–Biochemical Systems and Environmental Physiology","Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology","0.533","Q2","95","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","fuzzy","0.9822","2"
"Journal of Travel Medicine","Journal of Travel Medicine","1.562","Q1","77","Medicine","No","exact","1.0","2"
"Journal of Bone and Mineral Research","Journal of Bone and Mineral Research","2.074","Q1","276","Medicine","No","exact","1.0","2"
"Acta Ichthyologica Et Piscatoria","Acta Ichthyologica et Piscatoria","0.375","Q2","31","Agricultural and Biological Sciences","Yes","exact","1.0","2"
"Chinese Journal of Oceanology and Limnology","Chinese Journal of Microbiology and Immunology","0.121","Q4","9","Immunology and Microbiology","No","fuzzy","0.8539","2"
"Hearing Research","Hearing Research","0.814","Q2","140","Neuroscience","No","exact","1.0","2"
"Methods in Enzymology","Methods in Enzymology","0.133","Q4","184","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","2"
"Nutrients","Nutrients","1.473","Q1","243","Agricultural and Biological Sciences; Nursing","Yes","exact","1.0","2"
"Journal of Histochemistry and Cytochemistry","Journal of Histochemistry and Cytochemistry","0.875","Q1","142","Medicine","No","exact","1.0","2"
"Uniciencia","Uniciencia","0.247","Q3","9","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Earth and Planetary Sciences; Mathematics; Physics and Astronomy; Social Sciences","Yes","exact","1.0","2"
"American Surgeon","American Surgeon (discontinued)","","-","105","Medicine","No","exact","1.0","2"
"Chinese Science Bulletin","Chinese Science Bulletin","0.277","Q2","51","Multidisciplinary","No","exact","1.0","2"
"Environmental Archaeology","Environmental Archaeology","0.725","Q1","37","Arts and Humanities; Environmental Science; Social Sciences","No","exact","1.0","2"
"Estudos de Biologia","Estudos de Psicologia (Natal)","0.146","Q4","17","Psychology","Yes","fuzzy","0.9","2"
"Journal of the Zoological Society of India","Journal of the Geological Society of India","0.308","Q3","61","Earth and Planetary Sciences","No","fuzzy","0.9524","2"
"Revista da Sociedade Brasileira de Medicina Tropical","Revista da Sociedade Brasileira de Medicina Tropical","0.495","Q2","66","Immunology and Microbiology; Medicine","Yes","exact","1.0","2"
"Open Geosciences","Open Geosciences","0.402","Q2","42","Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","2"
"Zeitschrift der Deutschen Gesellschaft für Geowissenschaften","Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften","0.448","Q2","27","Earth and Planetary Sciences","No","exact","1.0","2"
"Journal of Sustainable Tourism","Journal of Sustainable Tourism","2.733","Q1","150","Business, Management and Accounting; Social Sciences","No","exact","1.0","2"
"Interciencia","Interciencia","0.149","Q4","41","Multidisciplinary","Yes","exact","1.0","2"
"Science of The Total Environment","Science of the Total Environment","2.137","Q1","399","Environmental Science","No","exact","1.0","2"
"Xenobiotica","Xenobiotica","0.348","Q3","91","Biochemistry, Genetics and Molecular Biology; Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","2"
"Acta Zoologica Sinica","Acta Geologica Sinica (English Edition)","0.601","Q2","77","Earth and Planetary Sciences","No","fuzzy","0.9048","2"
"Advances in Parasitology","Advances in Parasitology","","-","105","Immunology and Microbiology; Medicine","No","exact","1.0","2"
"Journal of Steroid Biochemistry and Molecular Biology","Journal of Steroid Biochemistry and Molecular Biology","0.729","Q2","149","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","2"
"Journal of Trace Elements in Medicine and Biology","Journal of Trace Elements in Medicine and Biology","0.743","Q1","98","Biochemistry, Genetics and Molecular Biology; Chemistry","No","exact","1.0","2"
"Australian Veterinary Journal","Australian Veterinary Journal","0.505","Q2","71","Medicine; Veterinary","No","exact","1.0","2"
"Journal of Emergency Medicine","Journal of Emergency Medicine","0.47","Q2","97","Medicine","No","exact","1.0","2"
"Pakistan Journal of Pharmaceutical Sciences","Pakistan Journal of Pharmaceutical Sciences","0.202","Q3","50","Pharmacology, Toxicology and Pharmaceutics","Yes","exact","1.0","2"
"Acta Biologica Venezuelica","Acta Botanica Venezuelica","0.106","Q4","9","Agricultural and Biological Sciences","Yes","fuzzy","0.8627","2"
"Journal of Veterinary Diagnostic Investigation","Journal of Veterinary Diagnostic Investigation","0.49","Q2","89","Veterinary","No","exact","1.0","2"
"Injury","Injury","0.762","Q1","151","Medicine","No","exact","1.0","2"
"IEEE Journal of Oceanic Engineering","IEEE Journal of Oceanic Engineering","1.003","Q1","118","Engineering","No","exact","1.0","2"
"Photochemical & Photobiological Sciences","Photochemical and Photobiological Sciences","0.629","Q2","122","Chemistry","No","exact","1.0","2"
"Veterinary Record","Veterinary Record","0.403","Q2","116","Medicine; Veterinary","Yes","exact","1.0","2"
"Lithosphere","Lithosphere (Russian Federation)","0.231","Q3","6","Earth and Planetary Sciences","Yes","exact","1.0","2"
"Geoscience Research Reports for","Geoscience Research Reports","0.138","Q4","6","Earth and Planetary Sciences","No","fuzzy","0.931","2"
"Revista De Biologia Tropical","Revista de Biologia Tropical","0.278","Q2","50","Agricultural and Biological Sciences","Yes","exact","1.0","2"
"Iranian Journal of Ichthyology","Iranian Journal of Ichthyology","0.165","Q4","15","Agricultural and Biological Sciences","Yes","exact","1.0","2"
"Zygote","Zygote","0.417","Q4","52","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","2"
"Revista de Investigaciones Marinas","Revista de Investigaciones Agropecuarias","0.124","Q4","9","Agricultural and Biological Sciences","Yes","fuzzy","0.8649","2"
"Angewandte Chemie International Edition","Angewandte Chemie - International Edition","5.55","Q1","667","Chemical Engineering; Chemistry","No","exact","1.0","2"
"Journal of Forensic Odonto–Stomatology","Journal of Forensic Odonto-Stomatology","0.483","Q2","34","Medicine","No","exact","1.0","2"
"Journal of Food Science","Journal of Food Science","0.798","Q1","189","Agricultural and Biological Sciences","No","exact","1.0","2"
"Biological Invasions","Biological Invasions","0.902","Q1","138","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","2"
"Forensic Science International","Forensic Science International","0.748","Q1","145","Medicine; Social Sciences","Yes","exact","1.0","2"
"Géologie de la France","Geologie de la France","0.147","Q4","8","Earth and Planetary Sciences","Yes","exact","1.0","2"
"Journal of Chromatography A","Journal of Chromatography A","0.731","Q1","258","Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine","No","exact","1.0","2"
"Biochemistry and Cell Biology","Biochemistry and Cell Biology","0.61","Q3","103","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","2"
"Protein Expression and Purification","Protein Expression and Purification","0.388","Q3","99","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","2"
"American Journal of Physiology-Regulatory","American Journal of Physiology - Regulatory Integrative and Comparative Physiology","0.945","Q2","198","Biochemistry, Genetics and Molecular Biology; Medicine","No","alias","1.0","2"
"Marine Ornithology","Marine Ornithology","0.32","Q3","36","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","2"
"Food Microbiology","Food Microbiology","1.06","Q1","152","Agricultural and Biological Sciences; Immunology and Microbiology","No","exact","1.0","2"
"Acta Physiologica Scandinavica","Acta Physiologica Sinica","0.194","Q4","30","Biochemistry, Genetics and Molecular Biology; Medicine","No","fuzzy","0.8889","2"
"Reviews in Fisheries Science &amp; Aquaculture","Reviews in Fisheries Science and Aquaculture","1.63","Q1","90","Agricultural and Biological Sciences; Environmental Science","No","fuzzy","0.967","2"
"Archivos Latinoamericanos de Nutrición","Archivos Latinoamericanos de Nutricion","0.15","Q4","39","Medicine; Nursing","Yes","fuzzy","0.9737","2"
"Journal of Chemical Ecology","Journal of Chemical Ecology","0.701","Q1","136","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","2"
"Journal of Wilderness Medicine","Journal of Gene Medicine","0.712","Q2","102","Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","fuzzy","0.8519","2"
"Proceedings of The Royal Society B-Biological Sciences","Proceedings of the Royal Society B: Biological Sciences","1.45","Q1","302","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Immunology and Microbiology; Medicine","No","exact","1.0","2"
"Biogeosciences","Biogeosciences","1.645","Q1","171","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","2"
"Tropical Journal of Pharmaceutical Research","Tropical Journal of Pharmaceutical Research","0.173","Q3","53","Medicine; Pharmacology, Toxicology and Pharmaceutics","Yes","exact","1.0","2"
"Immunology Letters","Immunology Letters","0.98","Q2","114","Immunology and Microbiology; Medicine","No","exact","1.0","2"
"Geological Survey of Canada","Geological Survey of China","0.326","Q3","11","Earth and Planetary Sciences","No","fuzzy","0.9057","2"
"Bulletin of the Natural History Museum","Bulletin of the Iraq Natural History Museum","0.236","Q3","10","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","fuzzy","0.9383","2"
"Food Analytical Methods","Food Analytical Methods","0.541","Q2","72","Agricultural and Biological Sciences; Chemistry; Engineering; Immunology and Microbiology; Social Sciences","No","exact","1.0","2"
"Facies","Facies","0.643","Q2","65","Earth and Planetary Sciences","No","exact","1.0","2"
"Journal of Crustacean Biology","Journal of Crustacean Biology","0.364","Q3","63","Agricultural and Biological Sciences","No","exact","1.0","2"
"International Journal of Legal Medicine","International Journal of Legal Medicine","0.931","Q1","98","Medicine","No","exact","1.0","2"
"Materials Science and Engineering C","Materials Science and Engineering: A","1.955","Q1","292","Engineering; Materials Science; Physics and Astronomy","No","fuzzy","0.9714","2"
"Ethnobiology and Conservation","Ethnobiology and Conservation","0.499","Q1","22","Agricultural and Biological Sciences; Environmental Science; Social Sciences","Yes","exact","1.0","2"
"Bulletin of the Florida Museum of Natural History","Bulletin of the American Museum of Natural History","1.259","Q1","64","Agricultural and Biological Sciences; Environmental Science","Yes","fuzzy","0.9091","2"
"Frontiers in Environmental Science","Frontiers in Environmental Science","0.859","Q1","91","Environmental Science","Yes","exact","1.0","2"
"Natura Croatica","Natura Croatica","0.264","Q3","24","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","2"
"Earth-Science Reviews","Earth-Science Reviews","3.463","Q1","268","Earth and Planetary Sciences","No","exact","1.0","2"
"Development","Development","0.339","Q2","47","Social Sciences","No","exact","1.0","2"
"Revista de Investigación Científica","Revista de Investigacion Clinica","0.416","Q3","36","Medicine","Yes","fuzzy","0.8955","2"
"Antonie Van Leeuwenhoek International Journal of General and Molecular Microbiology","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology","0.485","Q3","124","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine","No","exact","1.0","2"
"Visual Neuroscience","Visual Neuroscience","0.515","Q3","90","Biochemistry, Genetics and Molecular Biology; Neuroscience","Yes","exact","1.0","2"
"Zeitschrift für Tierpsychology","Zeitschrift fur Neuropsychologie","0.214","Q4","14","Medicine; Neuroscience; Psychology","No","fuzzy","0.871","2"
"Journal of the American Oil Chemists Society","Journal of the American Chemical Society","5.554","Q1","734","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry","Yes","fuzzy","0.881","2"
"Methods in Molecular Biology","Methods in Molecular Biology","0.354","Q4","215","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","2"
"Aquatic Sciences","Aquatic Sciences","0.642","Q2","91","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","2"
"Journal of Applied Microbiology","Journal of Applied Microbiology","0.779","Q2","195","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine","No","exact","1.0","2"
"Comparative Clinical Pathology","Comparative Clinical Pathology","0.254","Q3","43","Medicine","No","exact","1.0","2"
"Journal of Comparative Physiology B: Biochemical Systems and Environmental Physiology","Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology","0.533","Q2","95","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","fuzzy","0.9822","2"
"Biomolecules","Biomolecules","1.333","Q1","134","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","1"
"Hidrobiologica","Hidrobiologica","0.162","Q4","22","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","1"
"Journal of Thermal Biology","Journal of Thermal Biology","0.647","Q1","88","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Forensic Science International: Animals and Environments","Forensic Science International: Animals and Environments","0.479","Q2","9","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Acta Adriatica.","Acta Adriatica","0.256","Q3","27","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Bioorganic & Medicinal Chemistry","Bioorganic and Medicinal Chemistry","0.608","Q2","193","Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Nature Climate Change","Nature Climate Change","8.046","Q1","296","Environmental Science; Social Sciences","No","exact","1.0","1"
"Journal of Central South University","Journal of Central South University (Medical Sciences)","0.237","Q4","21","Medicine","No","exact","1.0","1"
"Behavioral Neuroscience","Behavioral Neuroscience","0.867","Q2","153","Neuroscience","No","exact","1.0","1"
"Natura Carpatica","Natura Croatica","0.264","Q3","24","Agricultural and Biological Sciences; Environmental Science","Yes","fuzzy","0.9032","1"
"Ageing Research Reviews","Ageing Research Reviews","4.216","Q1","181","Biochemistry, Genetics and Molecular Biology; Neuroscience","No","exact","1.0","1"
"Resource and Energy Economics","Resource and Energy Economics","1.128","Q1","84","Economics, Econometrics and Finance","No","exact","1.0","1"
"Journal of Comparative Physiology B","Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology","0.533","Q2","95","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","substring","0.95","1"
"Journal of King Saud University Science","Journal of King Saud University - Science","0.662","Q1","75","Multidisciplinary","Yes","exact","1.0","1"
"Perspectives in Biology and Medicine","Perspectives in Biology and Medicine","0.312","Q2","56","Arts and Humanities; Medicine; Nursing","No","exact","1.0","1"
"Organisms Diversity & Evolution","Organisms Diversity and Evolution","0.649","Q2","55","Agricultural and Biological Sciences","No","exact","1.0","1"
"Virology Journal","Virology Journal","0.992","Q1","104","Immunology and Microbiology; Medicine","Yes","exact","1.0","1"
"Environment International","Environment International","3.145","Q1","274","Environmental Science","Yes","exact","1.0","1"
"Environmental Science &amp; Technology Letters","Environmental Science and Technology Letters","2.768","Q1","111","Environmental Science","No","fuzzy","0.967","1"
"Biomolecular NMR Assignments","Biomolecular NMR Assignments","0.349","Q3","19","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"British Journal of Haematology","British Journal of Haematology","1.647","Q1","215","Medicine","No","exact","1.0","1"
"Scientific American","Scientific American","0.115","Q4","104","Multidisciplinary","No","exact","1.0","1"
"Aquaculture Environment Interactions","Aquaculture Environment Interactions","0.843","Q1","47","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Nature Ecology &amp; Evolution","Nature Ecology and Evolution","4.357","Q1","140","Agricultural and Biological Sciences; Environmental Science","No","fuzzy","0.9492","1"
"Paleontological Journal;","Paleontological Journal","0.312","Q3","40","Earth and Planetary Sciences","No","exact","1.0","1"
"Immunology and Cell Biology","Immunology and Cell Biology","1.157","Q2","123","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Kidney International","Kidney International","4.13","Q1","330","Medicine","No","exact","1.0","1"
"Annual Review of Earth and Planetary Sciences","Annual Review of Earth and Planetary Sciences","5.885","Q1","187","Earth and Planetary Sciences; Physics and Astronomy","No","exact","1.0","1"
"Biotropica","Biotropica","0.722","Q1","113","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Boletim Do Instituto De Pesca","Boletim do Instituto de Pesca","0.196","Q4","22","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen (","Neues Jahrbuch fur Geologie und Palaontologie - Abhandlungen","0.425","Q3","46","Earth and Planetary Sciences","No","fuzzy","0.9667","1"
"Cell Reports","Cell Reports","3.796","Q1","246","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","1"
"Magnetic Resonance Imaging","Magnetic Resonance Imaging","0.63","Q2","126","Biochemistry, Genetics and Molecular Biology; Engineering; Medicine","No","exact","1.0","1"
"Toxicological Research","Toxicological Research","0.635","Q2","47","Environmental Science; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Records of the South Australian Museum","Records of the Australian Museum","0.397","Q1","24","Agricultural and Biological Sciences; Arts and Humanities","Yes","fuzzy","0.9143","1"
"Revista de la Asociación Médica Argentina","Revista de la Asociacion Geologica Argentina","0.234","Q3","48","Earth and Planetary Sciences","Yes","fuzzy","0.8941","1"
"Bulletin of the Museum of Natural History","Bulletin of the Peabody Museum of Natural History","0.242","Q3","23","Agricultural and Biological Sciences","No","fuzzy","0.9111","1"
"Bulletin of the Geological Survey of Nigeria","Bulletin of the Geological Survey of Finland","0.152","Q4","15","Earth and Planetary Sciences","Yes","fuzzy","0.8864","1"
"Ceylon Journal of Science","Ceylon Journal of Science","0.153","Q3","7","Multidisciplinary","Yes","exact","1.0","1"
"Conservation","Conservation","0.44","Q2","10","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Cytokine","Cytokine","1.108","Q1","142","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Journal of the Society of Leather Technologists and Chemists","Journal of the Society of Leather Technologists and Chemists","0.192","Q4","29","Chemical Engineering; Chemistry; Materials Science","No","exact","1.0","1"
"Channels","Channels","1.019","Q1","56","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","1"
"Current Issues in Tourism","Current Issues in Tourism","1.703","Q1","123","Business, Management and Accounting; Social Sciences","No","exact","1.0","1"
"Veterinary Parasitology","Veterinary Parasitology","0.606","Q1","150","Immunology and Microbiology; Medicine; Veterinary","No","exact","1.0","1"
"Blood Coagulation and Fibrinolysis","Blood Coagulation and Fibrinolysis","0.362","Q3","80","Medicine","No","exact","1.0","1"
"Ecological Research","Ecological Research","0.616","Q2","87","Agricultural and Biological Sciences","No","exact","1.0","1"
"Journal of Experimental Sciences","Journal of Experimental Nanoscience","0.524","Q2","56","Chemical Engineering; Engineering; Materials Science","Yes","fuzzy","0.9254","1"
"Acta Geoscientia Sinica","Acta Geoscientica Sinica","0.314","Q3","33","Earth and Planetary Sciences","No","fuzzy","0.9787","1"
"Clinical & Experimental Optometry","Clinical and Experimental Optometry","0.624","Q2","73","Health Professions; Medicine","No","exact","1.0","1"
"Biophysical Chemistry","Biophysical Chemistry","0.643","Q2","108","Biochemistry, Genetics and Molecular Biology; Chemistry","No","exact","1.0","1"
"Comparative Biochemistry and Physiology A-Molecular & Integrative Physiology","Comparative Biochemistry and Physiology -Part A : Molecular and Integrative Physiology","0.618","Q1","132","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","fuzzy","0.9689","1"
"BMC Biology","BMC Biology","1.727","Q1","137","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","1"
"Journal of Colloid and Interface Science","Journal of Colloid and Interface Science","1.885","Q1","286","Chemical Engineering; Materials Science","Yes","exact","1.0","1"
"Indian Journal of Biochemistry and Biophysics","Indian Journal of Biochemistry and Biophysics","0.319","Q3","51","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","1"
"Journal of Magnetic Resonance","Journal of Magnetic Resonance","0.554","Q2","147","Biochemistry, Genetics and Molecular Biology; Physics and Astronomy","No","exact","1.0","1"
"Acta Zoológica Lilloana","Acta Zoologica Lilloana","0.143","Q4","3","Agricultural and Biological Sciences","Yes","fuzzy","0.9565","1"
"Polymer Bulletin","Polymer Bulletin","0.658","Q2","82","Chemistry; Materials Science; Physics and Astronomy","No","exact","1.0","1"
"Revista Brasileira de Parasitologia Veterinaria","Revista Brasileira de Parasitologia Veterinaria","0.412","Q2","39","Immunology and Microbiology; Veterinary","Yes","exact","1.0","1"
"Amphibia–Reptilia","Amphibia - Reptilia","0.385","Q2","54","Agricultural and Biological Sciences","No","exact","1.0","1"
"Scandinavian Journal of Immunology","Scandinavian Journal of Immunology","0.751","Q2","100","Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Bollettino Della Societa Paleontologica Italiana","Bollettino della Societa Paleontologica Italiana","0.426","Q3","35","Earth and Planetary Sciences","No","exact","1.0","1"
"Journal of Sociology","Journal of Sociology","0.836","Q1","66","Social Sciences","No","exact","1.0","1"
"Földtani Közlöny","Foldtani Kozlony","0.21","Q3","14","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Current Microbiology","Current Microbiology","0.621","Q2","114","Immunology and Microbiology; Medicine","No","exact","1.0","1"
"American Journal of Physiology. Gastrointestinal and liver Physiology","American Journal of Physiology - Gastrointestinal and Liver Physiology","1.39","Q1","198","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Asia Pacific Journal of Tourism Research","Asia Pacific Journal of Tourism Research","0.885","Q1","70","Business, Management and Accounting; Social Sciences","No","exact","1.0","1"
"Journal of Ichthyology(unpublished)","Journal of Ichthyology","0.325","Q2","23","Agricultural and Biological Sciences","No","exact","1.0","1"
"Journal of Biological Education","Journal of Biological Education","0.531","Q2","49","Agricultural and Biological Sciences; Social Sciences","No","exact","1.0","1"
"PLoS Genetics","PLoS Genetics","1.945","Q1","282","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","1"
"Proceedings of the Geologists’ Association","Proceedings of the Geologists' Association","0.391","Q2","50","Earth and Planetary Sciences","No","exact","1.0","1"
"International Journal of Food Microbiology","International Journal of Food Microbiology","1.163","Q1","227","Agricultural and Biological Sciences; Engineering; Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Pesquisa Veterinaria Brasileira","Pesquisa Veterinaria Brasileira","0.251","Q3","43","Veterinary","Yes","exact","1.0","1"
"Forensic Science Medicine and Pathology","Forensic Science, Medicine, and Pathology","0.47","Q2","50","Medicine","No","exact","1.0","1"
"Annales de Paleontologie","Annales de Paleontologie","0.313","Q3","31","Earth and Planetary Sciences","No","exact","1.0","1"
"Australian Geographer","Australian Geographer","0.484","Q2","55","Earth and Planetary Sciences; Social Sciences","No","exact","1.0","1"
"Frontiers in Cellular Neuroscience","Frontiers in Cellular Neuroscience","1.488","Q1","142","Neuroscience","Yes","exact","1.0","1"
"Journal of Environmental Studies and Sciences","Journal of Environmental Studies and Sciences","0.583","Q2","41","Environmental Science; Social Sciences","No","exact","1.0","1"
"Maejo International Journal of Science and Technology","Maejo International Journal of Science and Technology","0.156","Q3","24","Multidisciplinary","Yes","exact","1.0","1"
"Methods in Cell Biology","Methods in Cell Biology","0.296","Q4","90","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Journal of Archaeological Science–Reports","Journal of Archaeological Science: Reports","0.691","Q1","48","Arts and Humanities; Social Sciences","No","exact","1.0","1"
"Nephrology","Nephrology (Saint-Petersburg)","0.117","Q4","6","Medicine","No","exact","1.0","1"
"Pakistan Journal of Marine Biology (Marine Research)","Pakistan Journal of Criminology (discontinued)","","-","12","Social Sciences","No","fuzzy","0.8615","1"
"Journal of Neurocytology","Journal of Neurology","1.687","Q1","168","Medicine; Neuroscience","No","fuzzy","0.9091","1"
"Biocell","Biocell","0.252","Q4","31","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","1"
"Journal of Inorganic Biochemistry","Journal of Inorganic Biochemistry","0.621","Q2","150","Biochemistry, Genetics and Molecular Biology; Chemistry","No","exact","1.0","1"
"Canadian Bulletin of Fisheries and Aquatic Sciences No.","Canadian Journal of Fisheries and Aquatic Sciences","0.803","Q1","173","Agricultural and Biological Sciences","No","fuzzy","0.8654","1"
"Journal of Mathematical Biology","Journal of Mathematical Biology","0.921","Q1","111","Agricultural and Biological Sciences; Mathematics","No","exact","1.0","1"
"Acta Biotheoretica","Acta Biotheoretica","0.454","Q1","40","Agricultural and Biological Sciences; Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Environmental Science; Mathematics; Medicine","No","exact","1.0","1"
"American Journal of Science","American Journal of Science","1.273","Q1","133","Earth and Planetary Sciences","No","exact","1.0","1"
"Terrestrial Atmospheric and Oceanic Sciences","Terrestrial, Atmospheric and Oceanic Sciences","0.399","Q2","53","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Proceedings of the Estonian Academy of Sciences","Proceedings of the Estonian Academy of Sciences","0.212","Q3","32","Engineering","Yes","exact","1.0","1"
"Environments","Environments - MDPI","0.831","Q1","51","Agricultural and Biological Sciences; Energy; Environmental Science","Yes","substring","0.95","1"
"Frontiers In Neuroanatomy","Frontiers in Neuroanatomy","0.896","Q1","89","Medicine; Neuroscience","Yes","exact","1.0","1"
"Analytical Letters","Analytical Letters","0.334","Q3","69","Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine","No","exact","1.0","1"
"National Academy Science Letters–India","National Academy Science Letters","0.264","Q3","31","Engineering","Yes","fuzzy","0.9143","1"
"Revista Brasileira de Parasitologia Veterinária","Revista Brasileira de Parasitologia Veterinaria","0.412","Q2","39","Immunology and Microbiology; Veterinary","Yes","fuzzy","0.9787","1"
"Scripta Medica","Scripta Medica (Banja Luka)","0.138","Q4","6","Medicine","Yes","exact","1.0","1"
"Oceanography","Oceanography","0.599","Q2","111","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Frontiers in Nutrition","Frontiers in Nutrition","1.115","Q1","94","Agricultural and Biological Sciences; Medicine; Nursing","Yes","exact","1.0","1"
"Journal of Natural Products","Journal of Natural Products","0.629","Q1","167","Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"International archives of allergy and applied immunology","International Archives of Allergy and Immunology","0.729","Q2","115","Immunology and Microbiology; Medicine","No","fuzzy","0.9231","1"
"Journal of Food Process Engineering","Journal of Food Process Engineering","0.621","Q2","66","Agricultural and Biological Sciences; Chemical Engineering","No","exact","1.0","1"
"Arabian Journal of Chemistry","Arabian Journal of Chemistry","0.888","Q1","130","Chemical Engineering; Chemistry","Yes","exact","1.0","1"
"Developmental Neurobiology","Developmental Neurobiology","1.437","Q1","143","Neuroscience","No","exact","1.0","1"
"The Marine Biologist","Marine Biology","0.677","Q1","138","Agricultural and Biological Sciences; Environmental Science","No","fuzzy","0.8667","1"
"Journal of Plankton Research","Journal of Plankton Research","0.763","Q1","110","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","1"
"Iranian Journal of Fisheries Science","Iranian Journal of Fisheries Sciences","0.235","Q4","29","Agricultural and Biological Sciences","No","fuzzy","0.9863","1"
"Arxius de Miscel·lània Zoològica","Arxius de Miscellania Zoologica","0.146","Q4","7","Agricultural and Biological Sciences","Yes","fuzzy","0.9677","1"
